uid,hn,street,boro,state
92544,33-71,164TH ST,QUEENS,NY
92545,33-73,164TH ST,QUEENS,NY
92546,33-76,164TH ST,QUEENS,NY
92547,33-80,164TH ST,QUEENS,NY
92548,33-81,164TH ST,QUEENS,NY
92549,33-82,164TH ST,QUEENS,NY
92550,35-03,164TH ST,QUEENS,NY
92551,35-11,164TH ST,QUEENS,NY
92552,35-14,164TH ST,QUEENS,NY
92553,35-15,164TH ST,QUEENS,NY
92554,35-19,164TH ST,QUEENS,NY
92555,35-20,164TH ST,QUEENS,NY
92556,35-24,164TH ST,QUEENS,NY
92557,35-25,164TH ST,QUEENS,NY
92558,35-29,164TH ST,QUEENS,NY
92559,35-30,164TH ST,QUEENS,NY
92560,35-35,164TH ST,QUEENS,NY
92561,35-36/38,164TH ST,QUEENS,NY
92562,35-39,164TH ST,QUEENS,NY
92563,35-40/42,164TH ST,QUEENS,NY
92564,35-46,164TH ST,QUEENS,NY
92565,35-47,164TH ST,QUEENS,NY
92566,35-50,164TH ST,QUEENS,NY
92567,35-51,164TH ST,QUEENS,NY
92568,35-54,164TH ST,QUEENS,NY
92569,35-58/60,164TH ST,QUEENS,NY
92570,35-59/63,164TH ST,QUEENS,NY
92571,35-64/66,164TH ST,QUEENS,NY
92572,35-70/72,164TH ST,QUEENS,NY
92573,35-69,164TH ST,QUEENS,NY
92574,32-04,165TH ST,QUEENS,NY
92575,32-17,165TH ST,QUEENS,NY
92576,32-15,165TH ST,QUEENS,NY
92577,32-19,165TH ST,QUEENS,NY
92578,32-23,165TH ST,QUEENS,NY
92579,32-29/31,165TH ST,QUEENS,NY
92580,32-39,165TH ST,QUEENS,NY
92581,33-02,165TH ST,QUEENS,NY
92582,33-05,165TH ST,QUEENS,NY
92583,33-06,165TH ST,QUEENS,NY
92584,33-11,165TH ST,QUEENS,NY
92585,33-12,165TH ST,QUEENS,NY
92586,33-16,165TH ST,QUEENS,NY
92587,33-20,165TH ST,QUEENS,NY
92588,33-21,165TH ST,QUEENS,NY
92589,33-25,165TH ST,QUEENS,NY
92590,33-26,165TH ST,QUEENS,NY
92591,33-29,165TH ST,QUEENS,NY
92592,33-30,165TH ST,QUEENS,NY
92593,33-31,165TH ST,QUEENS,NY
92594,33-34,165TH ST,QUEENS,NY
92595,33-37,165TH ST,QUEENS,NY
92596,33-38,165TH ST,QUEENS,NY
92597,33-42,165TH ST,QUEENS,NY
92598,33-43,165TH ST,QUEENS,NY
92599,33-46,165TH ST,QUEENS,NY
92600,33-47,165TH ST,QUEENS,NY
92601,33-50,165TH ST,QUEENS,NY
92602,33-51,165TH ST,QUEENS,NY
92603,33-54,165TH ST,QUEENS,NY
92604,33-57,165TH ST,QUEENS,NY
92605,33-59,165TH ST,QUEENS,NY
92606,33-60,165TH ST,QUEENS,NY
92607,33-63,165TH ST,QUEENS,NY
92608,33-64,165TH ST,QUEENS,NY
92609,33-67,165TH ST,QUEENS,NY
92610,33-70,165TH ST,QUEENS,NY
92611,33-73,165TH ST,QUEENS,NY
92612,33-75,165TH ST,QUEENS,NY
