id,address,proj,address_cln_1,address_cln_2
8101.007511,"89-10 35TH AVE, QUEENS NY",jh,89-10 35TH AVE,89-10 35TH AVE
8101.007512,"70-03 37TH AVE, QUEENS NY",jh,70-03 37TH AVE,70-03 37TH AVE
8101.007513,"70-07 37TH AVE, QUEENS NY",jh,70-07 37TH AVE,70-07 37TH AVE
8101.007514,"70-09 37TH AVE, QUEENS NY",jh,70-09 37TH AVE,70-09 37TH AVE
8101.007515,"70-11 37TH AVE, QUEENS NY",jh,70-11 37TH AVE,70-11 37TH AVE
8101.007516,"70-13 37TH AVE, QUEENS NY",jh,70-13 37TH AVE,70-13 37TH AVE
8101.007517,"70-17 37TH AVE, QUEENS NY",jh,70-17 37TH AVE,70-17 37TH AVE
8101.007518,"70-19 37TH AVE, QUEENS NY",jh,70-19 37TH AVE,70-19 37TH AVE
8101.007519,"71-05 37TH AVE, QUEENS NY",jh,71-05 37TH AVE,71-05 37TH AVE
8101.00752,"71-15 37TH AVE, QUEENS NY",jh,71-15 37TH AVE,71-15 37TH AVE
8101.007521,"72-15 37TH AVE, QUEENS NY",jh,72-15 37TH AVE,72-15 37TH AVE
8101.007521,"72-23-31 37TH AVE, QUEENS NY",jh,72-23-31 37TH AVE,72-23-31 37TH AVE
8101.007523,"73-05 37TH AVE, QUEENS NY",jh,73-05 37TH AVE,73-05 37TH AVE
8101.007524,"74-01/27 37TH AVE, Queens",lg,74-01/27 37TH AVE,74-01/27 37TH AVE
8101.007524,"74-01/27 37TH AVE, QUEENS NY",jh,74-01/27 37TH AVE,74-01/27 37TH AVE
8101.007525,"75-01/23 37TH AVE, QUEENS NY",jh,75-01/23 37TH AVE,75-01/23 37TH AVE
8101.007526,"76-01/27 37TH AVE, QUEENS NY",jh,76-01/27 37TH AVE,76-01/27 37TH AVE
8101.007526,"76-01/27 37TH AVE, Queens",lg,76-01/27 37TH AVE,76-01/27 37TH AVE
8101.007527,"77-01/19 37TH AVE, Queens",lg,77-01/19 37TH AVE,77-01/19 37TH AVE
8101.007527,"77-01-19 37TH AVE, QUEENS NY",jh,77-01-19 37TH AVE,77-01-19 37TH AVE
8101.007528,"78-01-13 37TH AVE, QUEENS NY",jh,78-01-13 37TH AVE,78-01-13 37TH AVE
8101.007529,"78-15/31 37TH AVE, Queens",lg,78-15/31 37TH AVE,78-15/31 37TH AVE
8101.007529,"78-15/31 37TH AVE, QUEENS NY",jh,78-15/31 37TH AVE,78-15/31 37TH AVE
8101.00753,"79-01/25 37TH AVE, Queens",lg,79-01/25 37TH AVE,79-01/25 37TH AVE
8101.00753,"79-01-25 37TH AVE, QUEENS NY",jh,79-01-25 37TH AVE,79-01-25 37TH AVE
8101.007531,"80-01/27 37TH AVE, QUEENS NY",jh,80-01/27 37TH AVE,80-01/27 37TH AVE
8101.007531,"80-01/27 37TH AVE, Queens",lg,80-01/27 37TH AVE,80-01/27 37TH AVE
8101.007532,"82-01/19 37TH AVE, QUEENS NY",jh,82-01/19 37TH AVE,82-01/19 37TH AVE
8101.007532,"82-01/19 37TH AVE, Queens",lg,82-01/19 37TH AVE,82-01/19 37TH AVE
8101.007533,"83-01/13 37TH AVE, Queens",lg,83-01/13 37TH AVE,83-01/13 37TH AVE
8101.007533,"83-01/13 37TH AVE, QUEENS NY",jh,83-01/13 37TH AVE,83-01/13 37TH AVE
8101.007534,"83-15/27 37TH AVE, Queens",lg,83-15/27 37TH AVE,83-15/27 37TH AVE
8101.007534,"83-15/27 37TH AVE, QUEENS NY",jh,83-15/27 37TH AVE,83-15/27 37TH AVE
8101.007535,"84-01/09 37TH AVE, QUEENS NY",jh,84-01/09 37TH AVE,84-01/09 37TH AVE
8101.007535,"84-01/09 37TH AVE, Queens",lg,84-01/09 37TH AVE,84-01/09 37TH AVE
8101.007536,"84-11/23 37TH AVE, QUEENS NY",jh,84-11/23 37TH AVE,84-11/23 37TH AVE
8101.007536,"84-11/23 37TH AVE, Queens",lg,84-11/23 37TH AVE,84-11/23 37TH AVE
8101.007537,"85-15/25 37TH AVE, Queens",lg,85-15/25 37TH AVE,85-15/25 37TH AVE
8101.007537,"85-15/25 37TH AVE, QUEENS NY",jh,85-15/25 37TH AVE,85-15/25 37TH AVE
8101.007538,"86-15 37TH AVE, QUEENS NY",jh,86-15 37TH AVE,86-15 37TH AVE
8101.007539,"87-15 37TH AVE, QUEENS NY",jh,87-15 37TH AVE,87-15 37TH AVE
8101.00754,"88-01/13 37TH AVE, Queens",lg,88-01/13 37TH AVE,88-01/13 37TH AVE
8101.00754,"88-01/13 37TH AVE, QUEENS NY",jh,88-01/13 37TH AVE,88-01/13 37TH AVE
8101.007541,"88-15/31 37TH AVE, QUEENS NY",jh,88-15/31 37TH AVE,88-15/31 37TH AVE
8101.007541,"88-15/31 37TH AVE, Queens",lg,88-15/31 37TH AVE,88-15/31 37TH AVE
8101.007542,"89-01/15 37TH AVE, QUEENS NY",jh,89-01/15 37TH AVE,89-01/15 37TH AVE
8101.007542,"89-01/15 37TH AVE, Queens",lg,89-01/15 37TH AVE,89-01/15 37TH AVE
8101.007543,"89-19/31 37TH AVE, QUEENS NY",jh,89-19/31 37TH AVE,89-19/31 37TH AVE
8101.007543,"89-19/31 37TH AVE, Queens",lg,89-19/31 37TH AVE,89-19/31 37TH AVE
8101.007544,"90-01-15 37TH AVE, Queens",lg,90-01-15 37TH AVE,90-01-15 37TH AVE
8101.007544,"90-01/15 37TH AVE, QUEENS NY",jh,90-01/15 37TH AVE,90-01/15 37TH AVE
