id,address,proj,address_cln_1,address_cln_2,addr_concat,uid,streetaddress,addressRemoveSuite,hn,street,county,boro,suite_type,suite_num,city,state
8101.008787,34-28 88TH ST QUEENS NY,jf,34-28 88TH ST,34-28 88TH ST,8101.008787^34-28 88TH ST^jf,91595,"34-28 88TH ST, QUEENS NY",34-28 88TH ST QUEENS NY,34-28,88TH ST,QUEENS,QUEENS,,,QUEENS,NY
8101.008788,34-30 88TH ST QUEENS NY,jf,34-30 88TH ST,34-30 88TH ST,8101.008788^34-30 88TH ST^jf,91596,"34-30 88TH ST, QUEENS NY",34-30 88TH ST QUEENS NY,34-30,88TH ST,QUEENS,QUEENS,,,QUEENS,NY
8101.008789,34-32 88TH ST QUEENS NY,jf,34-32 88TH ST,34-32 88TH ST,8101.008789^34-32 88TH ST^jf,91597,"34-32 88TH ST, QUEENS NY",34-32 88TH ST QUEENS NY,34-32,88TH ST,QUEENS,QUEENS,,,QUEENS,NY
8101.008789,34-32 88TH ST Queens,,34-32 88TH ST,34-32 88TH ST,8101.008789^34-32 88TH ST^nan,91598,"34-32 88TH ST, Queens",34-32 88TH ST Queens,34-32,88TH ST ,Queens,Queens,,,Queens,NY
8101.00879,34-34 88TH ST QUEENS NY,jf,34-34 88TH ST,34-34 88TH ST,8101.00879^34-34 88TH ST^jf,91599,"34-34 88TH ST, QUEENS NY",34-34 88TH ST QUEENS NY,34-34,88TH ST,QUEENS,QUEENS,,,QUEENS,NY
8101.00879,34-34 88TH ST Queens,,34-34 88TH ST,34-34 88TH ST,8101.00879^34-34 88TH ST^nan,91600,"34-34 88TH ST, Queens",34-34 88TH ST Queens,34-34,88TH ST ,Queens,Queens,,,Queens,NY
8101.008791,34-36 88TH ST QUEENS NY,jf,34-36 88TH ST,34-36 88TH ST,8101.008791^34-36 88TH ST^jf,91601,"34-36 88TH ST, QUEENS NY",34-36 88TH ST QUEENS NY,34-36,88TH ST,QUEENS,QUEENS,,,QUEENS,NY
8101.008791,34-36 88TH ST Queens,,34-36 88TH ST,34-36 88TH ST,8101.008791^34-36 88TH ST^nan,91602,"34-36 88TH ST, Queens",34-36 88TH ST Queens,34-36,88TH ST ,Queens,Queens,,,Queens,NY
8101.008792,34-38 88TH ST QUEENS NY,jf,34-38 88TH ST,34-38 88TH ST,8101.008792^34-38 88TH ST^jf,91603,"34-38 88TH ST, QUEENS NY",34-38 88TH ST QUEENS NY,34-38,88TH ST,QUEENS,QUEENS,,,QUEENS,NY
8101.008793,34-42 88TH ST Queens,,34-42 88TH ST,34-42 88TH ST,8101.008793^34-42 88TH ST^nan,91604,"34-42 88TH ST, Queens",34-42 88TH ST Queens,34-42,88TH ST ,Queens,Queens,,,Queens,NY
8101.008793,34-42 88TH ST QUEENS NY,jf,34-42 88TH ST,34-42 88TH ST,8101.008793^34-42 88TH ST^jf,91605,"34-42 88TH ST, QUEENS NY",34-42 88TH ST QUEENS NY,34-42,88TH ST,QUEENS,QUEENS,,,QUEENS,NY
8101.008794,34-44 88TH ST,,34-44 88TH ST,34-44 88TH ST,8101.008794^34-44 88TH ST^nan,91606,34-44 88TH ST,34-44 88TH ST,34-44,88TH ST,,nan,,,,NY
8101.008794,34-44 88TH ST QUEENS NY,jf,34-44 88TH ST,34-44 88TH ST,8101.008794^34-44 88TH ST^jf,91607,"34-44 88TH ST, QUEENS NY",34-44 88TH ST QUEENS NY,34-44,88TH ST,QUEENS,QUEENS,,,QUEENS,NY
8101.008795,34-46 88TH ST QUEENS NY,jf,34-46 88TH ST,34-46 88TH ST,8101.008795^34-46 88TH ST^jf,91608,"34-46 88TH ST, QUEENS NY",34-46 88TH ST QUEENS NY,34-46,88TH ST,QUEENS,QUEENS,,,QUEENS,NY
8101.008795,34-46 88TH ST Queens,,34-46 88TH ST,34-46 88TH ST,8101.008795^34-46 88TH ST^nan,91609,"34-46 88TH ST, Queens",34-46 88TH ST Queens,34-46,88TH ST ,Queens,Queens,,,Queens,NY
8101.008796,34-48 88TH ST QUEENS NY,jf,34-48 88TH ST,34-48 88TH ST,8101.008796^34-48 88TH ST^jf,91610,"34-48 88TH ST, QUEENS NY",34-48 88TH ST QUEENS NY,34-48,88TH ST,QUEENS,QUEENS,,,QUEENS,NY
8101.008797,34-50 88TH ST QUEENS NY,jf,34-50 88TH ST,34-50 88TH ST,8101.008797^34-50 88TH ST^jf,91611,"34-50 88TH ST, QUEENS NY",34-50 88TH ST QUEENS NY,34-50,88TH ST,QUEENS,QUEENS,,,QUEENS,NY
8101.008797,34-50 88TH ST,,34-50 88TH ST,34-50 88TH ST,8101.008797^34-50 88TH ST^nan,91612,34-50 88TH ST,34-50 88TH ST,34-50,88TH ST,,nan,,,,NY
8101.008798,35-06 88TH ST Queens,,35-06 88TH ST,35-06 88TH ST,8101.008798^35-06 88TH ST^nan,91613,"35-06 88TH ST, Queens",35-06 88TH ST Queens,35-06,88TH ST ,Queens,Queens,,,Queens,NY
8101.008798,35-06 88TH ST QUEENS NY,jf,35-06 88TH ST,35-06 88TH ST,8101.008798^35-06 88TH ST^jf,91614,"35-06 88TH ST, QUEENS NY",35-06 88TH ST QUEENS NY,35-06,88TH ST,QUEENS,QUEENS,,,QUEENS,NY
8101.008799,35-14 88TH ST QUEENS NY,jf,35-14 88TH ST,35-14 88TH ST,8101.008799^35-14 88TH ST^jf,91615,"35-14 88TH ST, QUEENS NY",35-14 88TH ST QUEENS NY,35-14,88TH ST,QUEENS,QUEENS,,,QUEENS,NY
8101.0088,35-16 88TH ST Queens,,35-16 88TH ST,35-16 88TH ST,8101.0088^35-16 88TH ST^nan,91616,"35-16 88TH ST, Queens",35-16 88TH ST Queens,35-16,88TH ST ,Queens,Queens,,,Queens,NY
8101.0088,35-16 88TH ST QUEENS NY,jf,35-16 88TH ST,35-16 88TH ST,8101.0088^35-16 88TH ST^jf,91617,"35-16 88TH ST, QUEENS NY",35-16 88TH ST QUEENS NY,35-16,88TH ST,QUEENS,QUEENS,,,QUEENS,NY
8101.008801,35-18 88TH ST Queens,,35-18 88TH ST,35-18 88TH ST,8101.008801^35-18 88TH ST^nan,91618,"35-18 88TH ST, Queens",35-18 88TH ST Queens,35-18,88TH ST ,Queens,Queens,,,Queens,NY
8101.008801,35-18 88TH ST QUEENS NY,jf,35-18 88TH ST,35-18 88TH ST,8101.008801^35-18 88TH ST^jf,91619,"35-18 88TH ST, QUEENS NY",35-18 88TH ST QUEENS NY,35-18,88TH ST,QUEENS,QUEENS,,,QUEENS,NY
8101.008802,35-20 88TH ST QUEENS NY,jf,35-20 88TH ST,35-20 88TH ST,8101.008802^35-20 88TH ST^jf,91620,"35-20 88TH ST, QUEENS NY",35-20 88TH ST QUEENS NY,35-20,88TH ST,QUEENS,QUEENS,,,QUEENS,NY
8101.008803,35-22 88TH ST QUEENS NY,jf,35-22 88TH ST,35-22 88TH ST,8101.008803^35-22 88TH ST^jf,91621,"35-22 88TH ST, QUEENS NY",35-22 88TH ST QUEENS NY,35-22,88TH ST,QUEENS,QUEENS,,,QUEENS,NY
8101.008804,35-24 88TH ST QUEENS NY,jf,35-24 88TH ST,35-24 88TH ST,8101.008804^35-24 88TH ST^jf,91622,"35-24 88TH ST, QUEENS NY",35-24 88TH ST QUEENS NY,35-24,88TH ST,QUEENS,QUEENS,,,QUEENS,NY
8101.008805,35-26 88TH ST QUEENS NY,jf,35-26 88TH ST,35-26 88TH ST,8101.008805^35-26 88TH ST^jf,91623,"35-26 88TH ST, QUEENS NY",35-26 88TH ST QUEENS NY,35-26,88TH ST,QUEENS,QUEENS,,,QUEENS,NY
8101.008806,35-28 88TH ST QUEENS NY,jf,35-28 88TH ST,35-28 88TH ST,8101.008806^35-28 88TH ST^jf,91624,"35-28 88TH ST, QUEENS NY",35-28 88TH ST QUEENS NY,35-28,88TH ST,QUEENS,QUEENS,,,QUEENS,NY
8101.008807,35-32 88TH ST QUEENS NY,jf,35-32 88TH ST,35-32 88TH ST,8101.008807^35-32 88TH ST^jf,91625,"35-32 88TH ST, QUEENS NY",35-32 88TH ST QUEENS NY,35-32,88TH ST,QUEENS,QUEENS,,,QUEENS,NY
8101.008808,35-34 88TH ST QUEENS NY,jf,35-34 88TH ST,35-34 88TH ST,8101.008808^35-34 88TH ST^jf,91626,"35-34 88TH ST, QUEENS NY",35-34 88TH ST QUEENS NY,35-34,88TH ST,QUEENS,QUEENS,,,QUEENS,NY
8101.008808,35-34 88TH ST Queens,,35-34 88TH ST,35-34 88TH ST,8101.008808^35-34 88TH ST^nan,91627,"35-34 88TH ST, Queens",35-34 88TH ST Queens,35-34,88TH ST ,Queens,Queens,,,Queens,NY
8101.008809,35-36 88TH ST QUEENS NY,jf,35-36 88TH ST,35-36 88TH ST,8101.008809^35-36 88TH ST^jf,91628,"35-36 88TH ST, QUEENS NY",35-36 88TH ST QUEENS NY,35-36,88TH ST,QUEENS,QUEENS,,,QUEENS,NY
8101.008809,35-36 88TH ST Queens,,35-36 88TH ST,35-36 88TH ST,8101.008809^35-36 88TH ST^nan,91629,"35-36 88TH ST, Queens",35-36 88TH ST Queens,35-36,88TH ST ,Queens,Queens,,,Queens,NY
8101.00881,35-38 88TH ST QUEENS NY,jf,35-38 88TH ST,35-38 88TH ST,8101.00881^35-38 88TH ST^jf,91630,"35-38 88TH ST, QUEENS NY",35-38 88TH ST QUEENS NY,35-38,88TH ST,QUEENS,QUEENS,,,QUEENS,NY
8101.00881,35-38 88TH ST Queens,,35-38 88TH ST,35-38 88TH ST,8101.00881^35-38 88TH ST^nan,91631,"35-38 88TH ST, Queens",35-38 88TH ST Queens,35-38,88TH ST ,Queens,Queens,,,Queens,NY
8101.008811,35-42 88TH ST Queens,,35-42 88TH ST,35-42 88TH ST,8101.008811^35-42 88TH ST^nan,91632,"35-42 88TH ST, Queens",35-42 88TH ST Queens,35-42,88TH ST ,Queens,Queens,,,Queens,NY
8101.008811,35-42 88TH ST QUEENS NY,jf,35-42 88TH ST,35-42 88TH ST,8101.008811^35-42 88TH ST^jf,91633,"35-42 88TH ST, QUEENS NY",35-42 88TH ST QUEENS NY,35-42,88TH ST,QUEENS,QUEENS,,,QUEENS,NY
8101.008812,35-44 88TH ST QUEENS NY,jf,35-44 88TH ST,35-44 88TH ST,8101.008812^35-44 88TH ST^jf,91634,"35-44 88TH ST, QUEENS NY",35-44 88TH ST QUEENS NY,35-44,88TH ST,QUEENS,QUEENS,,,QUEENS,NY
8101.008812,35-44 88TH ST Queens,,35-44 88TH ST,35-44 88TH ST,8101.008812^35-44 88TH ST^nan,91635,"35-44 88TH ST, Queens",35-44 88TH ST Queens,35-44,88TH ST ,Queens,Queens,,,Queens,NY
8101.008813,35-46 88TH ST QUEENS NY,jf,35-46 88TH ST,35-46 88TH ST,8101.008813^35-46 88TH ST^jf,91636,"35-46 88TH ST, QUEENS NY",35-46 88TH ST QUEENS NY,35-46,88TH ST,QUEENS,QUEENS,,,QUEENS,NY
